Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_1025,0.544,0,0,0.544,Non-Toxin
Pep_1026,0.827,0,0,0.827,Toxin
Pep_1027,0.571,0,0,0.571,Non-Toxin
Pep_1028,0.59,0,0,0.59,Non-Toxin
Pep_1029,0.43,0,0,0.43,Non-Toxin
Pep_1030,0.922,0,0,0.922,Toxin
Pep_1031,0.631,0,0,0.631,Toxin
Pep_1032,0.645,0,0,0.645,Toxin
Pep_1033,0.616,0,0,0.616,Toxin
Pep_1034,0.752,0,0,0.752,Toxin
Pep_1035,0.48,0,0,0.48,Non-Toxin
Pep_1036,0.499,0,0,0.499,Non-Toxin
Pep_1037,0.478,0,0,0.478,Non-Toxin
Pep_1038,0.482,0,0,0.482,Non-Toxin
Pep_1039,0.587,0,0,0.587,Non-Toxin
Pep_1040,0.581,0,0,0.581,Non-Toxin
Pep_1041,0.465,0,0,0.465,Non-Toxin
Pep_1042,0.752,0,0,0.752,Toxin
Pep_1043,0.588,0,0,0.588,Non-Toxin
Pep_1044,0.593,0,0,0.593,Non-Toxin
Pep_1045,0.781,0,0,0.781,Toxin
Pep_1046,0.565,0,0,0.565,Non-Toxin
Pep_1047,0.572,0,0,0.572,Non-Toxin
Pep_1048,0.572,0,0,0.572,Non-Toxin
Pep_1049,0.512,0,0,0.512,Non-Toxin
Pep_1050,0.551,0,0,0.551,Non-Toxin
Pep_1051,0.573,0,0,0.573,Non-Toxin
Pep_1052,0.565,0,0,0.565,Non-Toxin
Pep_1053,0.55,0,0,0.55,Non-Toxin
Pep_1054,0.88,0,0,0.88,Toxin
Pep_1055,0.575,0,0,0.575,Non-Toxin
Pep_1056,0.589,0,0,0.589,Non-Toxin
Pep_1057,0.578,0,0,0.578,Non-Toxin
Pep_1058,0.548,0,0,0.548,Non-Toxin
